NDP	Christina Gray	Edmonton-Mill Woods	//christinagray.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/christina-gray-abndp-website-photo.jpg	
NDP	Sharif Haji	Edmonton-Decore	//sharifhaji.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/haji-cropped.png	
NDP	Jessica Hallam	Highwood	//jessicahallam.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/jessica-hallam-png-website-1000x1000.png	
NDP	Julia Hayter	Calgary-Edgemont	//juliahayter.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/hayter-cropped3.png	
NDP	Cam Heenan	Leduc-Beaumont	//camheenan.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/cam-heenan-abndp-website-photo-2.jpg	
NDP	Jason Heistad	Innisfail-Sylvan Lake	//jasonheistad.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/candidate-png-website-1000x1000-jason-heistad.png	
NDP	Sarah Hoffman	Edmonton-Glenora	//sarahhoffman.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/hoffman-cropped.png	
NDP	Cathy Hogg	Cypress-Medicine Hat	//cathyhogg.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/candidate-png-website-1000x1000-cathy-hogg.png	
NDP	Rhiannon Hoyle	Edmonton-South	//rhiannonhoyle.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/hoyle-cropped.png	
NDP	Cheryl Hunter Loewen	Olds-Didsbury-Three Hills	//cherylhunterloewen.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/cheryl-hunter-loewen-abndp-website-photo.jpg	
NDP	Justin Huseby	Calgary-South East	//justinhuseby.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/huseby-cropped.png	
NDP	Nathan Ip	Edmonton-South West	//nathanip.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/nathan-ip-abndp-website-photo_0.jpg	
NDP	Janis Irwin	Edmonton-Highlands-Norwood	//janisirwin.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/candidate-png-website-1000x1000-janis-irwin.png	
NDP	Raj Jessel	Chestermere-Strathmore	//rajjessel.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/jessel-cropped6.png	
NDP	Kyle Kasawski	Sherwood Park	//kylekasawski.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/kasawski-cropped_0.png	
NDP	Samir Kayande	Calgary-Elbow	//samirkayande.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/kayande-abndp-website-photo.jpg	
NDP	Fred Kreiner	West Yellowhead	//fredkreiner.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/candidate-png-website-1000x1000-fred-kreiner.png	
NDP	Danielle Larivee	Lesser Slave Lake	//daniellelarivee.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/larivee-cropped.png	
NDP	Michael Lisboa-Smith	Calgary-North West	//michaellisboasmith.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/lisboa-smith-cropped.png	
NDP	Rod Loyola	Edmonton-Ellerslie	//rodloyola.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/rod-loyola-abndp-website-photo.jpg	
NDP	Kevin McLean	Grande Prairie	//kevinmclean.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/kevin-mclean-png-website-1000x1000.png	
NDP	Luanne Metz	Calgary-Varsity	//luannemetz.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/metz-cropped.png	
NDP	Rob Miyashiro	Lethbridge-East	//robmiyashiro.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/miyashiro-cropped.png	
NDP	Dan Nelles	Airdrie-East	//dannelles.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/nelles-cropped.png	
NDP	Liana Paiva	Peace River	//lianapaiva.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/liana-paiva-abndp-website-photo.jpg	
NDP	Rakhi Pancholi	Edmonton-Whitemud	//rakhipancholi.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/pancholi-cropped.png	
NDP	Shannon Phillips	Lethbridge-West	//shannonphillips.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/shannon-phillips-abndp-website-photo.jpg	
NDP	Denis Ram	Calgary-Peigan	//denisram.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/denis-ram-abndp-website-photo.jpg	
NDP	Venkat Ravulaparthi	Calgary-Lougheed	//venkatravulaparthi.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/venkat-ravulaparthi-png-website-1000x1000.png	
NDP	Marie Renaud	St. Albert	//marierenaud.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/renaud-cropped_0.png	
NDP	Taneen Rudyk	Fort Saskatchewan-Vegreville	//taneenrudyk.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/candidate-png-website-1000x1000-taneen-rudyk.png	
NDP	Irfan Sabir	Calgary-Bhullar-McCall	//irfansabir.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/sabir-cropped2.png	
NDP	Chantal Saramaga-McKenzie	Spruce Grove-Stony Plain	//chantalsaramagamckenzie.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/chantal-saramaga-mckenzie-abndp-website-photo_1.jpg	
NDP	Marlin Schmidt	Edmonton-Gold Bar	//marlinschmidt.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/marlin-schmidt-abndp-website-photo.jpg	
NDP	Karen Shaw	Morinville-St. Albert	//karenshaw.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/shaw-cropped.png	
NDP	David Shepherd	Edmonton-City Centre	//davidshepherd.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/shepherd-cropped.png	
NDP	Lori Sigurdson	Edmonton-Riverview	//lorisigurdson.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/sigurdson-cropped.png	
NDP	Parmeet Singh Boparai	Calgary-Falconridge	//parmeetsinghboparai.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/boparai-cropped.png	
NDP	Andrew Stewart	Calgary-Hays	//andrewstewart.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/stewart-cropped.png	
NDP	Heather Sweet	Edmonton-Manning	//heathersweet.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/sweet-cropped-2.png	
NDP	Lizette Tejada	Calgary-Klein	//lizettetejada.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/candidate-png-website-1000x1000-lizette-tejada.png	
NDP	Landen Tischer	Athabasca-Barrhead-Westlock	//landentischer.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/landen-tischer-png-website-1000x1000.png	
NDP	Bill Tonita	Strathcona-Sherwood Park	//billtonita.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/tonita-cropped.png	
NDP	Jaelene Tweedle	Red Deer-North	//jaelenetweedle.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/jaelene-tweedle-abndp-website-photo.jpg	
NDP	Rosman Valencia	Calgary-East	//rosmanvalencia.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/valencia-cropped.png	
NDP	Kevin Van Tighem	Livingstone-Macleod	//kevinvantighem.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/van-tighem-cropped-3.png	
NDP	Peggy Wright	Edmonton-Beverly-Clareview	//peggywright.albertandp.ca	https://www.albertandp.ca/sites/default/files/headshots/wright-cropped.png	
