Inder Grewal	Calgary-North East	https://www.unitedconservative.ca/nominated-candidates/inder-grewal/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Grewal2-674x1024-1-e1682032416258.jpg
Rajan Sawhney	Calgary-North West	https://www.unitedconservative.ca/nominated-candidates/rajan-sawhney/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Sawhney2-1-624x1024-1-e1682033707802.jpg
Tanya Fir	Calgary-Peigan	https://www.unitedconservative.ca/nominated-candidates/tanya-fir/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Tanya-Fir-Picture-768x521-1-e1681841188196.png
Rebecca Schulz	Calgary-Shaw	https://www.unitedconservative.ca/nominated-candidates/rebecca-schulz/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/RebeccaSchulz-e1681842173852-768x476.png
Matt Jones	Calgary-South East	https://www.unitedconservative.ca/nominated-candidates/matt-jones/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Jones-1024x1024-1-e1681846589929-768x518.png
Jason Copping	Calgary-Varsity	https://www.unitedconservative.ca/nominated-candidates/jason-copping/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Copping-768x764-1-e1681842918745.jpg
Mike Ellis	Calgary-West	https://www.unitedconservative.ca/nominated-candidates/mike-ellis/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Screen-Shot-2023-03-03-at-5.04.43-PM-768x902-1-e16818430_002.png
Jackie Lovely	Camrose	https://www.unitedconservative.ca/nominated-candidates/jackie-lovely/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Lovely-e1681842368546.jpeg
Joseph Schow	Cardston-Siksika	https://www.unitedconservative.ca/nominated-candidates/joseph-schow/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/Untitled_design_1-e1682032040268-768x287.jpg
Todd Loewen	Central Peace-Notley	https://www.unitedconservative.ca/nominated-candidates/todd-loewen/	Nominated%20Candidates%20%E2%80%93%20The%20United%20Conservative%20Party_files/IMJ_0633_-scaled-e1682790028627-768x460.jpg
