UCP	85	12370
WLC	85	752
NDP	86	3097
AP	86	475
GPA	86	146
UCP	86	13071
WLC	86	459
IND	86	354
NDP	87	5805
UCP	87	14452
