UCP	927453	52.5934
NDP	776238	44.0184
GPA	14085	0.7987
AP	12715	0.721
IND	12178	0.6906
TIP	5181	0.2938
SM	4812	0.2729
LIB	4282	0.2428
WLC	4256	0.2413
WIPA	825	0.0468
APA	711	0.0403
CP-A	377	0.0214
REF	132	0.0075
BPA	106	0.006
PAPA	90	0.0051
