Shaun Fluker	Alberta Ndp	Jessica Salkeld
Ron Voss	Wildrose Loyalty Coalition	Diane Voss
Dan Nelles	Alberta Ndp	David Bartle
Landen Tischer	Alberta Ndp	Camille Macrae
Glenn Van Dijken	United Conservative Party	Barbara Van Dijken
Sarah Elmeligi	Alberta Ndp	David Bartle
Miranda Rosin	United Conservative Party	Jenna Jackson
Caitlyn Blake	Alberta Ndp	Melissa Langmaid
Scott Cyr	United Conservative Party	Robert Tremblay
Danielle Smith	United Conservative Party	Ken Engler
Richard Bruneau	Alberta Ndp	Britta Boden
Jackie Lovely	United Conservative Party	Wil Amundson
Colleen Quintal	Alberta Ndp	Ray Quintal
Terry Wolsey	The Independence Party Of Alberta	Janet Wolsey
Megan Ciurysek	Alberta Ndp	Eileen Coristine
Todd Loewen	United Conservative Party	Samantha Steinke
Chantelle De Jonge	United Conservative Party	Joel Mans
Raj Jessel	Alberta Ndp	Melissa Langmaid
Justin Wright	United Conservative Party	Kevin Kroeker
Andrew Boitchenko	United Conservative Party	Tayler Wood
Harry Singh	Alberta Ndp	Rhonda Hickman
Juliet Franklin	Alberta Ndp	Melissa Langmaid
Nate Horner	United Conservative Party	Mikayla Janssen
Calan William Simeon Hobbs	Alberta Ndp	Aisling Devlin-O'Connor
Brian Jean	United Conservative Party	Willie Hoflin
Tanika Chaisson	Alberta Ndp	Aisling Devlin-O'Connor
Tany Yao	United Conservative Party	Tianyou Pan
Jackie Armstrong-Homeniuk	United Conservative Party	Sheryl Cymbaliuk
Taneen Rudyk	Alberta Ndp	Mark Diamond
Nolan Dyck	United Conservative Party	Kathryn Anderson
Kevin Mclean	Alberta Ndp	Craig Powell
Ron Wiebe	United Conservative Party	Lydell Torgeson
Jessica Hallam	Alberta Ndp	Benilde Gomes
Mike Lorusso	Wildrose Independence Party	Robert Lefurgey
Richard Sigurdson	United Conservative Party	Demi Vermeer
Devin Dreeshen	United Conservative Party	Don Oszli
Jeevan Mangat	Wildrose Independence Party	Ken Walker
David Reid	The Independence Party Of Alberta	G. Stingings
Oneil Carlier	Alberta Ndp	Mark Diamond
Shane Getson	United Conservative Party	Dwight Moskalyk
Dave Dale	Alberta Ndp	Kevin Shilling
Daniel Jefferies	Wildrose Loyalty Coalition	Laurie Jefferies
Jennifer Johnson	United Conservative Party	David Den Uyl
Cam Heenan	Alberta Ndp	Daniel Theroux
Brandon Lunty	United Conservative Party	Cole Kander
Danielle Larivee	Alberta Ndp	Mark Diamond
Rob Miyashiro	Alberta Ndp	Keith Mclaughlin
Nathan Neudorf	United Conservative Party	Gerriane Timmerman
Pat Chizek	Alberta Liberal Party	Linda Langager
Shannon Phillips	Alberta Ndp	Keith Mclaughlin
Cheryl Seaborn	United Conservative Party	Davey Wiggers
Chelsae Petrovic	United Conservative Party	Thane Hurlburt
Kevin Todd	Alberta Party	Jennifer Lewis
Corrie Toone	The Independence Party Of Alberta	Danielle Slettede
Kevin Van Tighem	Alberta Ndp	Benilde Gomes
Katherine Swampy	Alberta Ndp	Kevin Shilling
Rick Wilson	United Conservative Party	Patricia Godkin
Dale Nally	United Conservative Party	Brandon Aboultaif
Karen Shaw	Alberta Ndp	Albert Zalazar
Nathan Cooper	United Conservative Party	Brenda Berreth
Cheryl Hunter Loewen	Alberta Ndp	Kevin Shilling
Katherine Kowalchuk	The Independence Party Of Alberta	Mike Worthington
Cam Tatlock	Wildrose Loyalty Coalition	Randy Stretch
Liana Paiva	Alberta Ndp	Wanda Laurin
Dan Williams	United Conservative Party	Will Petluk
Adriana Lagrange	United Conservative Party	Burton Bailey
Jaelene Tweedle	Alberta Ndp	Kevin Shilling
Michelle Baer	Alberta Ndp	Kevin Shilling
Jason Stephan	United Conservative Party	Jason Brunner
Jason Nixon	United Conservative Party	Morgan Cameron
Kyle Kasawski	Alberta Ndp	Mark Diamond
Jordan Walker	United Conservative Party	Jason Steele
Daniel Birrell	Green Party Of Alberta	Chris Blasko
Chantal Saramaga-Mckenzie	Alberta Ndp	Daniel Theroux
Searle Turton	United Conservative Party	Bobbi-Sue Menard
Marie Renaud	Alberta Ndp	Albert Zalazar
Angela Wood	United Conservative Party	Joe Friesenhan
Nate Glubish	United Conservative Party	Mitchel Gray
Bill Tonita	Alberta Ndp	Mark Diamond
Paul Hinman	Wildrose Loyalty Coalition	Michelle Heggie
Jazminn Hintz	Alberta Ndp	Benilde Gomes
Joel Hunt	Green Party Of Alberta	Kroeker Dorothy
Grant Hunter	United Conservative Party	Donald Hubble
Darrell Dunn	Alberta Party	Yvonne Dunn
Dawn Flaata	Alberta Ndp	Linda Jacejko
Garth Rowswell	United Conservative Party	Doreen Mcrobert
Fred Kreiner	Alberta Ndp	Mark Diamond
Martin Long	United Conservative Party	Kaila Mitchell
