035 Edmonton-Manning,https://338Canada.com/alberta/1035e.htm%20,Safe NDP hold	2023-05-25
036 Edmonton-McClung,https://338Canada.com/alberta/1036e.htm%20,Likely NDP hold	2023-05-25
037 Edmonton-Meadows,https://338Canada.com/alberta/1037e.htm%20,Safe NDP hold	2023-05-25
038 Edmonton-Mill Woods,https://338Canada.com/alberta/1038e.htm%20,Safe NDP hold	2023-05-25
039 Edmonton-North West,https://338Canada.com/alberta/1039e.htm%20,Safe NDP hold	2023-05-25
040 Edmonton-Riverview,https://338Canada.com/alberta/1040e.htm%20,Safe NDP hold	2023-05-25
041 Edmonton-Rutherford,https://338Canada.com/alberta/1041e.htm%20,Safe NDP hold	2023-05-25
042 Edmonton-South,https://338Canada.com/alberta/1042e.htm%20,Likely NDP hold	2023-05-25
043 Edmonton-South West,https://338Canada.com/alberta/1043e.htm%20,Toss up UCP/NDP	2023-05-25
044 Edmonton-Strathcona,https://338Canada.com/alberta/1044e.htm%20,Safe NDP hold	2023-05-25
045 Edmonton-West Henday,https://338Canada.com/alberta/1045e.htm%20,Leaning NDP hold	2023-05-25
046 Edmonton-Whitemud,https://338Canada.com/alberta/1046e.htm%20,Likely NDP hold	2023-05-25
047 Airdrie-Cochrane,https://338Canada.com/alberta/1047e.htm%20,Likely UCP hold	2023-05-25
048 Airdrie East,https://338Canada.com/alberta/1048e.htm%20,Safe UCP hold	2023-05-25
049 Athabasca-Barrhead-Westlock,https://338Canada.com/alberta/1049e.htm%20,Safe UCP hold	2023-05-25
050 Banff-Kananaskis,https://338Canada.com/alberta/1050e.htm%20,Toss up UCP/NDP	2023-05-25
051 Bonnyville-Cold Lake-St. Paul,https://338Canada.com/alberta/1051e.htm%20,Safe UCP hold	2023-05-25
052 Brooks-Medicine Hat,https://338Canada.com/alberta/1052e.htm%20,Safe UCP hold	2023-05-25
053 Camrose,https://338Canada.com/alberta/1053e.htm%20,Safe UCP hold	2023-05-25
054 Cardston-Siksika,https://338Canada.com/alberta/1054e.htm%20,Safe UCP hold	2023-05-25
055 Central Peace-Notley,https://338Canada.com/alberta/1055e.htm%20,Safe UCP hold	2023-05-25
056 Chestermere-Strathmore,https://338Canada.com/alberta/1056e.htm%20,Safe UCP hold	2023-05-25
057 Cypress-Medicine Hat,https://338Canada.com/alberta/1057e.htm%20,Safe UCP hold	2023-05-25
058 Drayton Valley-Devon,https://338Canada.com/alberta/1058e.htm%20,Safe UCP hold	2023-05-25
059 Drumheller-Stettler,https://338Canada.com/alberta/1059e.htm%20,Safe UCP hold	2023-05-25
060 Fort McMurray-Lac La Biche,https://338Canada.com/alberta/1060e.htm%20,Safe UCP hold	2023-05-25
061 Fort McMurray-Wood Buffalo,https://338Canada.com/alberta/1061e.htm%20,Safe UCP hold	2023-05-25
