1	Party	FirstName	LastName	District	Inc	Reg	Gender	Agent	YOB	Website
293	NDP	Venkat	Ravulaparthi	Calgary-Lougheed	No	Yes	M			//venkatravulaparthi.albertandp.ca/
294	IPA	David	Reid	Innisfail-Sylvan Lake	No	Yes	M			
295	NDP	Marie	Renaud	St. Albert	Yes	Yes	F			//marierenaud.albertandp.ca
296	IND	Marie	Rittenhouse	Maskwacis-Wetaskiwin	No	Yes	F			
297	GPA	Lane	Robson	Calgary-Currie	no	Yes	M			https://www.greenpartyofalberta.ca/calgary_currie
298	LIB	John	Roggeveen	Calgary-Lougheed	No	Yes	M			https://www.albertaliberal.com/john_roggeveen_leader
299	WLC	Shawna	Rooney	Highwood	No	No	F			
300	UCP	Miranda	Rosin	Banff-Kananaskis	Yes	Yes	F			/miranda-rosin/
301	UCP	Garth	Rowswell	Vermilion-Lloydminster-Wainwright	Yes	Yes	M			/garth-rowswell/
302	NDP	Taneen	Rudyk	Fort Saskatchewan-Vegreville	No	Yes	F			//taneenrudyk.albertandp.ca
303	AP	Wayne	Rufiange	Morinville-St. Albert	No	Yes	M			
304	NDP	Irfan	Sabir	Calgary-Bhullar-McCall	Yes	Yes	M			//irfansabir.albertandp.ca
305	GPA	Aman	Sandhu	Calgary-Cross	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_cross
306	SM	Manuel	Santos	Calgary-Bow	No	Yes	M	Nick Lauritsen		
307	NDP	Chantal	Saramaga-McKenzie	Spruce Grove-Stony Plain	No	Yes	F			//chantalsaramagamckenzie.albertandp.ca
308	UCP	Rajan	Sawhney	Calgary-North West	no	Yes	F			/rajan-sawhney/
309	NDP	Marlin	Schmidt	Edmonton-Gold Bar	Yes	Yes	M			//marlinschmidt.albertandp.ca
310	UCP	Joseph	Schow	Cardston-Siksika	Yes	Yes	M			/joseph-schow/
311	AP	Allen	Schultz	Calgary-Edgemont	No	Yes	M			https://sites.google.com/albertaparty.ca/calgary-edgemont/home
312	GPA	Julian	Schultz	Edmonton-Glenora	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_glenora
313	UCP	Rebecca	Schulz	Calgary-Shaw	Yes	Yes	F			/rebecca-schulz/
314	IND	Fred	Schwieger	Rimbey-Rocky Mountain House-Sundre	No	Yes	M			
315	WLC	Donna	Scott	Calgary-Acadia	No	No	F			
316	UCP	Cheryl	Seaborn	Lethbridge-West	No	Yes	F			/cheryl-seaborn/
317	SM	Bert	Seatter	Lesser Slave Lake	No	Yes	M	Nick Lauritsen		
318	UCP	Tyler	Shandro	Calgary-Acadia	Yes	Yes	M			/tyler-shandro/
319	NDP	Karen	Shaw	Morinville-St. Albert	No	Yes	F			//karenshaw.albertandp.ca
320	NDP	David	Shepherd	Edmonton-City Centre	Yes	Yes	M			//davidshepherd.albertandp.ca
321	UCP	Raj	Sherman	Edmonton-Whitemud	No	Yes	M			/raj-sherman/
322	NDP	Lori	Sigurdson	Edmonton-Riverview	Yes	Yes	F			//lorisigurdson.albertandp.ca
323	UCP	R. J.	Sigurdson	Highwood	Yes	Yes	M			/rj-sigurdson/
324	WLC	Oneil	Simon	St. Albert	No	No	M			
325	UCP	scott	Sinclair	Lesser Slave Lake	No	Yes	M			/scott-sinclair/
326	UCP	Peter	Singh	Calgary-East	Yes	Yes	M			/peter-singh/
327	NDP	Harry	Singh	Drayton Valley-Devon	No	Yes	M			//harrysingh.albertandp.ca
328	NDP	Parmeet	Singh Boparai	Calgary-Falconridge	no	Yes	M			//parmeetsinghboparai.albertandp.ca
329	LIB	Don	Slater	Edmonton-Decore	No	Yes	M			https://www.albertaliberal.com/don_slater_decore
330	UCP	Danielle	Smith	Brooks-Medicine Hat	Yes	Yes	F			/danielle-smith/
331	LIB	Jacob	Stacey	Sherwood Park	No	Yes	M			https://www.albertaliberal.com/jacobstacey
332	UCP	Jason	Stephan	Red Deer-South	Yes	Yes	M			/jason-stephan/
333	NDP	Andrew	Stewart	Calgary-Hays	No	Yes	M			//andrewstewart.albertandp.ca
334	AP	Patrick	Stewart	Edmonton-Castle Downs	No	Yes	F			https://patrick-stewart.ca/
335	WLC	Angela	Stretch	Edmonton-Elleslie	No	Yes	F			
336	WLC	Grace	Stretch	Grande Prairie-Wapiti	No	No	F			
337	WLC	Jesse	Stretch	Red Deer-South	No	Yes	M			
338	UCP	Luke	Suvanto	Edmonton-Beverly-Clareview	Yes	Yes	M			/luke-suvanto/
339	NDP	Katherine	Swampy	Maskwacis-Wetaskiwin	No	Yes	F			//katherineswampy.albertandp.ca
340	NDP	Heather	Sweet	Edmonton-Manning	Yes	Yes	F			//heathersweet.albertandp.ca
341	GPA	Terence	Syvenky	Edmonton-McClung	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_mcclung
342	IND	Angela	Tabak	Cardston-Siksika	No	Yes	F			
343	GPA	Evelyn	Tanaka	Calgary-Hays	No	Yes	F			https://www.greenpartyofalberta.ca/calgary_hays
344	WLC	Cameron	Tatlock	Olds-Didsbury-Three Hills	No	Yes	M			
345	WLC	Tami	Tatlock	Rimbey-Rocky Mountain House-Sundre	No	Yes	F			
346	NDP	Lizette	Tejada	Calgary-Klein	no	Yes	F			//lizettetejada.albertandp.ca
347	GPA	Derek	Thompson	Edmonton-Manning	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_manning
348	IND	Serena	Thomsen	Calgary-North West	No	Yes	F			
349	REF	Randy	Thorsteinson	Innisfail-Sylvan Lake	No	Yes	M			
350	AP	Sue	Timanson	Sherwood Park	No	Yes	F			https://www.albertaparty.ca/sue_timanson
351	NDP	Landen	Tischer	Athabasca-Barrhead-Westlock	No	Yes	M			//landentischer.albertandp.ca/
352	WLC	James	Tobin	Calgary-North East	No	No	M			
353	AP	Kevin	Todd	Livingstone-Macleod	No	Yes	M			https://www.albertaparty.ca/kevin_todd
354	NDP	Bill	Tonita	Strathcona-Sherwood Park	No	Yes	M			//billtonita.albertandp.ca
355	SM	Gail	Tookey	Drayton Valley-Devon	No	Yes	M	Nick Lauritsen		
356	IPA	Corrie	Toone	Livingstone-Macleod	No	Yes	F			
357	UCP	Devinder	Toor	Calgary-Falconridge	Yes	Yes	M			/devinder-toor/
358	CP-A	Jonathan	Trautman	Calgary-East	No	Yes	M			https://www.communistparty-alberta.ca/
359	WLC	William	Tufts	Lesser Slave Lake	No	No	M			
360	UCP	Searle	Turton	Spruce Grove-Stony Plain	Yes	Yes	M			/searle-turton/
361	NDP	Jaelene	Tweedle	Red Deer-North	No	Yes	F			//jaelenetweedle.albertandp.ca
362	AP	Brent	Tyson	Edmonton-Decore	No	Yes	M			http://brenttyson2023.com/
363	NDP	Rosman	Valencia	Calgary-East	no	Yes	M			//rosmanvalencia.albertandp.ca
364	UCP	Glenn	Van Dijken	Athabasca-Barrhead-Westlock	Yes	Yes	M			/glenn-van-dijken/
365	NDP	Kevin	Van Tighem	Livingstone-Macleod	No	Yes	M			//kevinvantighem.albertandp.ca
366	UCP	Terrence	Vankka	Edmonton-Riverview	No	Yes	M			/terry-vankka/
367	WLC	Maxime	Viens	Calgary-Beddington	No	No	M			
368	WLC	Hanna	Viens	Drumheller-Stettler	No	Yes	F			
369	WLC	Ron	Voss	Airdrie-Cochrane	No	Yes	M			Dog With A Bone Society
370	UCP	Jordan	Walker	Sherwood Park	Yes	Yes	M			/jordan-walker/
371	IND	Shaoli	Wang	Calgary-Foothills	No	No	M			
372	SM	Par	Wantenaar	Cardston-Siksika	No	Yes	M	Nick Lauritsen		
373	SM	Christopher	Wedick	Calgary-Mountain View	No	Yes	M	Nick Lauritsen		
374	UCP	Ron	Wiebe	Grande Prairie-Wapiti	Yes	Yes	M			/ron-wiebe/
375	WLC	Joni	Wilde	Calgary-Hays	No	No	F			
376	GPA	Jordan	Wilkie	Edmonton-Rutherford	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_rutherford
377	SM	Miles	Williams	Calgary-Edgemont	No	Yes	M	Nick Lauritsen		
378	UCP	Dan	Williams	Peace River	Yes	Yes	M			/dan-williams/
379	SM	Evan	Wilson	Calgary-Falconridge	No	Yes	M	Nick Lauritsen		
380	LIB	Donna	Wilson	Edmonton-Whitemud	No	Yes	F			https://www.albertaliberal.com/donnawilson
381	UCP	Rick	Wilson	Maskwacis-Wetaskiwin	Yes	Yes	M			/richard-wilson/
382	APA	Dale	Withers	Drayton Valley-Devon	No	Yes	M			
383	IPA	Terry	Wolsey	Cardston-Siksika	No	Yes	M			
384	UCP	Richard	Wong	Edmonton-City Centre	No	Yes	M			/richard-wong/
385	UCP	Angela	Wood	St. Albert	No	Yes	F			/jordan-walker/
386	WLC	Klaas	Workema	Edmonton-Meadows	No	No	M			
387	LIB	Frances	Woytkiw	Calgary-Mountain View	No	Yes	F			https://www.albertaliberal.com/frances_woytkiw_mountainview
388	GPA	Catriona	Wright	Calgary-South East	No	Yes	F			https://www.greenpartyofalberta.ca/calgary_south_east
389	UCP	Justin	Wright	Cypress-Medicine Hat	Yes	Yes	M			/justin-wright/
390	NDP	Peggy	Wright	Edmonton-Beverly-Clareview	No	Yes	F			//peggywright.albertandp.ca
391	UCP	Tany	Yao	Fort McMurray-Wood Buffalo	Yes	Yes	M			/tany-yao/
392	UCP	Muhammad	Yaseen	Calgary-North	Yes	Yes	M			/muhammad-yaseen/
393	AP	Jennifer	Yerimiy	Calgary-North West	No	Yes	F			https://www.albertaparty.ca/jenny_yeremiy
394	LIB	Zarnab	Zafar	Calgary-Beddington	No	Yes	F			https://www.albertaliberal.com/zarnab_zafar_beddington
395	APA	Kelly	Zeleny	Fort Saskatchewan-Vegreville	No	Yes	M			
