1	Party	FirstName	LastName	District	Inc	Reg	Gender	Agent	YOB	Website
67	WLC	Arnaud	Couleard	Edmonton-South	No	No	M			
68	UCP	Melissa	Crane	Edmonton-Glenora	No	Yes	F			/melissa-crane/
69	UCP	Slava	Cravcenko	Edmonton-West Henday	No	Yes	M			/slava-cravcenco/
70	GPA	Jeff	Cullihall	Edmonton-South West	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_south_west
71	AP	Kerry	Cundal	Calgary-Elbow	no	Yes	F			https://www.teamcundal.com/
72	UCP	Scott	Cyr	Bonnyville-Cold Lake-St. Paul	Yes	Yes	M			/scott-cyr/
73	NDP	Lorne	Dach	Edmonton-McClung	Yes	Yes	M			//lornedach.albertandp.ca
74	NDP	Dave	Dale	Lacombe-Ponoka	Yes	Yes	M			//davedale.albertandp.ca
75	SM	Kami	Dass	Calgary-Foothills	No	Yes	F	Nick Lauritsen		
76	WLC	Oaklan	Davidsen	Calgary-Varsity	No	Yes	M			
77	UCP	Christopher	Davis	Calgary-Elbow	No	Yes	M			/chris-davis/
78	UCP	Chantelle	de Jonge	Chestermere-Strathmore	No	Yes				/chantelle-de-jonge/
79	IND	Keenan	DeMontigny	Calgary-Foothills	No	Yes	M			
80	NDP	Jasvir	Deol	Edmonton-Meadows	Yes	Yes	M			//jasvirdeol.albertandp.ca
81	GPA	Shane	Diederich	Grande Prairie	No	Yes	M			https://www.greenpartyofalberta.ca/grande_prairie
82	GPA	Vanessa	Diehl	Lac Ste. Anne-Parkland	No	Yes	F			https://www.greenpartyofalberta.ca/lac_ste_anne_parkland
83	NDP	Gwendoline	Dirk	Brooks-Medicine Hat	No	Yes	F			//gwendolinedirk.albertandp.ca
84	SM	Garry	Dirk	Calgary-East	No	Yes	M	Nick Lauritsen		
85	UCP	Devin	Dreeshen	Innisfail-Sylvan Lake	Yes	Yes	M			/devin-dreeshen/
86	GPA	Kenneth	Drysdale	Calgary-Klein	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_klein
87	AP	Darrel	Dunn	Vermilion-Lloydminster-Wainwright	No	Yes	M			https://www.albertaparty.ca/darrell_dunn
88	UCP	Nolan	Dyck	Grande Prairie	Yes	Yes	M			/nolan-dyck/
89	SM	Kallie	Dyck	Red Deer-North	No	Yes	F	Nick Lauritsen		
90	UCP	Jon	Dziadyk	Edmonton-Castle Downs	No	Yes	M			/jon-dziadyk/
91	NDP	David	Eggen	Edmonton-North West	Yes	Yes	M			//davideggen.albertandp.ca
92	NDP	Court	Ellingson	Calgary-Foothills	no	Yes	M			//courtellingson.albertandp.ca
93	UCP	Mike	Ellis	Calgary-West	Yes	Yes	M			/mike-ellis/
94	NDP	Sarah	Elmeligi	Banff-Kananaskis	No	Yes	F			//sarahelmeligi.albertandp.ca
95	UCP	Emad	El-Zein	Edmonton-Strathcona	No	Yes				/emad-el-zein/
96	WLC	Patricia	Engebreton	Edmonton-Beverly-Clareview	No	No	F			
97	NDP	Janet	Eremenko	Calgary-Currie	no	Yes	F			//janeteremenko.albertandp.ca
98	SM	Carla	Evers	Drumheller-Stettler	No	Yes	M	Nick Lauritsen		
99	NDP	Druh	Farrell	Calgary-Bow	No	Yes	F			//druhfarrell.albertandp.ca
100	UCP	Tanya	Fir	Calgary-Peigan	Yes	Yes	F			/tanya-fir/
101	NDP	Dawn	Flaata	Vermilion-Lloydminster-Wainwright	No	Yes	F			//dawnflaata.albertandp.ca
102	IND	Kathy	Flett	Fort Saskatchewan-Vegreville	No	Yes	F			
103	WLC	Christopher	Flickinger	Innisfail-Sylvan Lake	No	No	M			
104	NDP	Shaun	Fluker	Airdrie-Cochrane	No	Yes	M			//shaunfluker.albertandp.ca
105	NDP	Juliet	Franklin	Drumheller-Stettler	No	Yes	F			//julietfranklin.albertandp.ca
106	SM	Heinrich	Friesen	Calgary-South East	No	Yes	M	Nick Lauritsen		
107	AP	Brad	Friesen	Fort McMurray-Wood Buffalo	No	Yes	M			https://www.albertaparty.ca/brad_friesen
108	GPA	Justin	Fuss	Maskwacis-Wetaskiwin	No	Yes	M			https://www.greenpartyofalberta.ca/maskwacis_wetaskiwin
109	NDP	Kathleen	Ganley	Calgary-Mountain View	Yes	Yes	F			//kathleenganley.albertandp.ca
110	WLC	Jennifer	Garn	Edmonton-Glenora	No	No	F			
111	GPA	Robin	George	Edmonton-Riverview	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_riverview
112	UCP	Shane	Getson	Lac Ste. Anne-Parkland	Yes	Yes	M			/shane-getson/
113	GPA	Michelle	Giles	Airdrie-Cochrane	No	Yes	F			https://www.greenpartyofalberta.ca/airdrie_cochrane
114	UCP	Amanpreet Singh	Gill	Calgary-Bhullar-McCall	No	Yes	M			/amanpreet-singh-gill/
115	NDP	Gurinder Singh	Gill	Calgary-Cross	No	Yes	M			//gurindersinghgill.albertandp.ca
116	SM	Brent	Ginther	Taber-Warner	No	Yes	M	Nick Lauritsen		
117	UCP	Nate	Glubish	Strathcona-Sherwood Park	Yes	Yes	M			/nate-glubish/
118	AP	Paul	Godard	Calgary-Bow	No	Yes	F			
119	NDP	Nicole	Goehring	Edmonton-Castle Downs	Yes	Yes	F			//nicolegoehring.albertandp.ca
120	GPA	Robert	Gooding-Townsend	Edmonton-Strathcona	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_strathcona
121	AP	Angela	Grace	Calgary-Varsity	No	No	F			
122	NDP	Christina	Gray	Edmonton-Mill Woods	Yes	Yes	F			//christinagray.albertandp.ca
123	UCP	Inderjit	Grewal	Calgary-North East	No	Yes	M			/inder-grewal/
124	IND	Andrzej	Gudanowski	Edmonton-Beverly-Clareview	No	Yes	M			
125	UCP	Peter	Guthrie	Airdrie-Cochrane	Yes	Yes	M			/peter-guthrie/
126	WLC	Russel	Gwozdz	Edmonton-North West	No	No	M			
127	WLC	Joanne	Gwozdz	Edmonton-Riverview	No	No	F			
128	WLC	Rachelle	Gwozdz	Edmonton-Rutherford	No	No	F			
129	SM	Alain	Habel	Calgary-North West	No	Yes	M	Nick Lauritsen		
130	NDP	Sharif	Haji	Edmonton-Decore	No	Yes	M			//sharifhaji.albertandp.ca
131	NDP	Jessica	Hallam	Highwood	No	Yes	F			//jessicahallam.albertandp.ca
132	GPA	Ahmad	Hassan	Calgary-Falconridge	No	Yes	M			https://www.greenpartyofalberta.ca/calgary_falconridge
133	LIB	Dylin	Hauser	Livingstone-MacLeod	No	Yes	M			https://www.albertaliberal.com/dylin_hauser
134	GPA	Cheri	Hawley	Edmonton-Whitemud	No	Yes	F			https://www.greenpartyofalberta.ca/edmonton_whitemud
135	UCP	Ali	Haymour	Edmonton-North West	No	Yes	M			/ali-haymour/
136	NDP	Julia	Hayter	Calgary-Edgemont	no	Yes	F			//juliahayter.albertandp.ca
137	LIB	Charlie	Heater	Calgary-Fish Creek	No	Yes	M			https://www.albertaliberal.com/charlieheater
138	IND	Larry	Heather	Calgary-Acadia	No	Yes	M			
139	NDP	Cam	Heenan	Leduc-Beaumont	No	Yes	M			//camheenan.albertandp.ca
140	UCP	Daniel	Heikkinen	Edmonton-McClung	No	Yes	M			/daniel-heikkinen/
141	NDP	Jason	Heistad	Innisfail-Sylvan Lake	No	Yes	M			//jasonheistad.albertandp.ca
142	SM	Lona	Henry	Calgary-Buffalo	No	Yes	F	Nick Lauritsen		
143	WLC	Pamela 	Henson	Camrose	No	Yes	F			
144	PAPA	Lucas	Hernandez	Calgary-Mountain View	No	Yes	M			
145	GPA	Galloway	Hiatt	West Yellowhead	No	No	M			https://www.greenpartyofalberta.ca/west_yellowhead
146	WLC	Paul	Hinman	Taber-Warner	No	Yes	M			https://wildroseloyaltycoalition.com/
147	NDP	Jasmine	Hintz	Taber-Warner	No	Yes	F			//jazminnhintz.albertandp.ca
148	NDP	Calen	Hobbs	Fort McMurray-Lac La Biche	No	Yes	M			//calanhobbs.albertandp.ca
149	NDP	Sarah	Hoffman	Edmonton-Glenora	Yes	Yes	F			//sarahhoffman.albertandp.ca
150	NDP	Cathy	Hogg	Cypress-Medicine Hat	No	Yes	F			//cathyhogg.albertandp.ca
151	WLC	Jon	Hokanson	Drayton Valley-Devon	No	Yes	M	https://i0.wp.com/wildroseloyaltycoalition.com/wp-content/uploads/2023/05/Hokanson.jpg?w=619&ssl=1		
152	WLC	Hanna	Hokanson	Edmonton-McClung	No	No	F			
153	UCP	Nate	Horner	Drumheller-Stettler	Yes	Yes	M			/nate-horner/
154	IND	Tim	Hoven	Rimbey-Rocky Mountain House-Sundre	No	Yes	M			https://www.timhoven.com/
155	GPA	Kristina	Howard	Edmonton-West Henday	No	Yes	F			https://www.greenpartyofalberta.ca/edmonton_west_henday
156	NDP	Rhiannon	Hoyle	Edmonton-South	No	Yes	F			//rhiannonhoyle.albertandp.ca
157	WLC	Patricia	Hozak	Edmonton-Whitemud	No	No	F			
158	WLC	Danny	Hozak	Vermilion-Lloydminster-Wainwright	No	Yes	M			
159	SM	Dave	Hughes	Calgary-Fish Creek	No	Yes	M	Nick Lauritsen		
160	GPA	Joel	Hunt	Taber-Warner	No	Yes	M			https://www.greenpartyofalberta.ca/taber_warner
161	GPA	Michael	Hunter	Edmonton-Beverly-Clareview	No	Yes	M			https://www.greenpartyofalberta.ca/edmonton_beverly_clareview
162	UCP	Grant	Hunter	Taber-Warner	Yes	Yes	M			/grant-hunter/
163	NDP	Cheryl	Hunter Loewen	Olds-Didsbury-Three Hills	No	Yes	F			//cherylhunterloewen.albertandp.ca
164	NDP	Justin	Huseby	Calgary-South East	No	Yes	M			//justinhuseby.albertandp.ca
165	NDP	Nathan	Ip	Edmonton-South West	No	Yes	M			//nathanip.albertandp.ca
166	NDP	Janis	Irwin	Edmonton-Highlands-Norwood	Yes	Yes	F			//janisirwin.albertandp.ca
167	UCP	Whitney	Issik	Calgary-Glenmore	Yes	Yes	F			/whitney-issik/
168	AP	Janet	Jabush	Lac Ste. Anne-Parkland	No	Yes	F			https://www.teamjabush.ca/
169	AP	Wayne	Jackson	Calgary-Beddington	No	Yes	M			
170	GPA	Michael	Jacobsen	Airdrie-East	No	Yes	M			https://www.greenpartyofalberta.ca/airdrie_east
171	BPA	Andrew	Jacobson	Edmonton-Strathcona	No	Yes	M			
172	WLC	Kenneth	Jansen	Calgary-Bow	No	No	M			
173	WLC	Kathleen	Jansen	Calgary-Buffalo	No	No	F			
174	UCP	Brian	Jean	Fort McMurray-Lac La Biche	Yes	Yes	M			/brian-jean/
175	WLC	Daniel	Jeffries	Lacombe-Ponoka	No	Yes	M			
176	WLC	Leslie	Jeffries	Leduc-Beaumont	No	No	M			
177	GPA	Cameron	Jeffries	St. Albert	No	Yes	M			https://www.greenpartyofalberta.ca/st_albert
178	NDP	Raj	Jessel	Chestermere-Strathmore	No	Yes	M			//rajjessel.albertandp.ca
179	UCP	Jennifer	Johnson	Lacombe-Ponoka	No	Yes	F			https://jenniferjohnsonucp.ca/
180	WLC	Mark	Johnson	Sherwood Park	No	No	M			
181	UCP	Matt	Jones	Calgary-South East	Yes	Yes	M			/matt-jones/
182	SM	Kyle	Jubb	Banff-Kananaskis	No	Yes	M	Nick Lauritsen		
183	SM	Suzanne	Jubb	Maskwacis-Wetaskiwin	No	Yes	F	Nick Lauritsen		
184	UCP	Nicholas	Kalynchuk	Edmonton-Highlands-Norwood	No	Yes	M			/nicholas-kalynchuk/
185	NDP	Kyle	Kasawski	Sherwood Park	No	Yes	M			//kylekasawski.albertandp.ca
186	IPA	Frank	Kast	Taber-Warner	No	Yes	M			
187	SM	Bill	Kaufman	Leduc-Beaumont	No	Yes	M	Nick Lauritsen		
188	NDP	Samir	Kayande	Calgary-Elbow	No	Yes	M			//samirkayande.albertandp.ca
189	LIB	Leila	Keith	Calgary-Currie	No	Yes	F			https://www.albertaliberal.com/leila_keith_currie
190	IND	Kyle	Kennedy	Calgary-Falconridge	No	Yes	M			
191	GPA	Christopher	Khan	Edmonton-Meadows	No	No	M			
192	LIB	Jean	Kijuli	Edmonton-Manning	No	No	M			
193	GPA	Kurt	Klingbeil	Morinville-St. Albert	No	Yes	M			https://www.greenpartyofalberta.ca/morinville_st_albert
194	GPA	Kristine	Kowalchuk	Edmonton-Highlands-Norwood	No	Yes	F			https://www.greenpartyofalberta.ca/edmonton_highlands_norwood
